Energy Usage Information
"For location: DEMO HOUSEHOLD, AGOURA HILLS CA 91301

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2025-09-01 00:00:00  for 374 days"
Date,Energy Consumption time Period Start,Energy Consumption time Period End,Delivered,Received
"09/01/2025 ","09/01/2025 12:00AM ","09/01/2025 01:00AM ","1.398","0.000"
"09/01/2025 ","09/01/2025 01:00AM ","09/01/2025 02:00AM ","1.074","0.000"
"09/01/2025 ","09/01/2025 02:00AM ","09/01/2025 03:00AM ","0.888","0.000"
"09/01/2025 ","09/01/2025 03:00AM ","09/01/2025 04:00AM ","0.708","0.000"
"09/01/2025 ","09/01/2025 04:00AM ","09/01/2025 05:00AM ","0.690","0.000"
"09/01/2025 ","09/01/2025 05:00AM ","09/01/2025 06:00AM ","3.828","0.000"
"09/01/2025 ","09/01/2025 06:00AM ","09/01/2025 07:00AM ","8.094","0.000"
"09/01/2025 ","09/01/2025 07:00AM ","09/01/2025 08:00AM ","5.082","0.000"
"09/01/2025 ","09/01/2025 08:00AM ","09/01/2025 09:00AM ","0.666","0.000"
"09/01/2025 ","09/01/2025 09:00AM ","09/01/2025 10:00AM ","1.158","0.000"
"09/01/2025 ","09/01/2025 10:00AM ","09/01/2025 11:00AM ","1.470","0.000"
"09/01/2025 ","09/01/2025 11:00AM ","09/01/2025 12:00PM ","3.054","0.000"
"09/01/2025 ","09/01/2025 12:00PM ","09/01/2025 1:00PM ","2.994","0.000"
"09/01/2025 ","09/01/2025 1:00PM ","09/01/2025 2:00PM ","4.086","0.000"
"09/01/2025 ","09/01/2025 2:00PM ","09/01/2025 3:00PM ","4.380","0.000"
"09/01/2025 ","09/01/2025 3:00PM ","09/01/2025 4:00PM ","4.230","0.000"
"09/01/2025 ","09/01/2025 4:00PM ","09/01/2025 5:00PM ","4.560","0.000"
"09/01/2025 ","09/01/2025 5:00PM ","09/01/2025 6:00PM ","4.320","0.000"
"09/01/2025 ","09/01/2025 6:00PM ","09/01/2025 7:00PM ","3.972","0.000"
"09/01/2025 ","09/01/2025 7:00PM ","09/01/2025 8:00PM ","3.534","0.000"
"09/01/2025 ","09/01/2025 8:00PM ","09/01/2025 9:00PM ","3.348","0.000"
"09/01/2025 ","09/01/2025 9:00PM ","09/01/2025 10:00PM ","3.228","0.000"
"09/01/2025 ","09/01/2025 10:00PM ","09/01/2025 11:00PM ","2.484","0.000"
"09/01/2025 ","09/01/2025 11:00PM ","09/02/2025 12:00AM ","1.632","0.000"
"09/02/2025 ","09/02/2025 12:00AM ","09/02/2025 01:00AM ","1.176","0.000"
"09/02/2025 ","09/02/2025 01:00AM ","09/02/2025 02:00AM ","1.278","0.000"
"09/02/2025 ","09/02/2025 02:00AM ","09/02/2025 03:00AM ","1.044","0.000"
"09/02/2025 ","09/02/2025 03:00AM ","09/02/2025 04:00AM ","0.870","0.000"
"09/02/2025 ","09/02/2025 04:00AM ","09/02/2025 05:00AM ","7.788","0.000"
"09/02/2025 ","09/02/2025 05:00AM ","09/02/2025 06:00AM ","8.376","0.000"
"09/02/2025 ","09/02/2025 06:00AM ","09/02/2025 07:00AM ","8.214","0.000"
"09/02/2025 ","09/02/2025 07:00AM ","09/02/2025 08:00AM ","4.368","0.000"
"09/02/2025 ","09/02/2025 08:00AM ","09/02/2025 09:00AM ","0.930","0.000"
"09/02/2025 ","09/02/2025 09:00AM ","09/02/2025 10:00AM ","0.906","0.000"
"09/02/2025 ","09/02/2025 10:00AM ","09/02/2025 11:00AM ","0.978","0.000"
"09/02/2025 ","09/02/2025 11:00AM ","09/02/2025 12:00PM ","1.698","0.000"
"09/02/2025 ","09/02/2025 12:00PM ","09/02/2025 1:00PM ","2.448","0.000"
"09/02/2025 ","09/02/2025 1:00PM ","09/02/2025 2:00PM ","3.204","0.000"
"09/02/2025 ","09/02/2025 2:00PM ","09/02/2025 3:00PM ","4.272","0.000"
"09/02/2025 ","09/02/2025 3:00PM ","09/02/2025 4:00PM ","4.362","0.000"
"09/02/2025 ","09/02/2025 4:00PM ","09/02/2025 5:00PM ","3.714","0.000"
"09/02/2025 ","09/02/2025 5:00PM ","09/02/2025 6:00PM ","3.324","0.000"
"09/02/2025 ","09/02/2025 6:00PM ","09/02/2025 7:00PM ","4.260","0.000"
"09/02/2025 ","09/02/2025 7:00PM ","09/02/2025 8:00PM ","2.682","0.000"
"09/02/2025 ","09/02/2025 8:00PM ","09/02/2025 9:00PM ","2.442","0.000"
"09/02/2025 ","09/02/2025 9:00PM ","09/02/2025 10:00PM ","3.792","0.000"
"09/02/2025 ","09/02/2025 10:00PM ","09/02/2025 11:00PM ","2.712","0.000"
"09/02/2025 ","09/02/2025 11:00PM ","09/03/2025 12:00AM ","2.226","0.000"
"09/03/2025 ","09/03/2025 12:00AM ","09/03/2025 01:00AM ","1.782","0.000"
"09/03/2025 ","09/03/2025 01:00AM ","09/03/2025 02:00AM ","1.368","0.000"
"09/03/2025 ","09/03/2025 02:00AM ","09/03/2025 03:00AM ","1.356","0.000"
"09/03/2025 ","09/03/2025 03:00AM ","09/03/2025 04:00AM ","0.972","0.000"
"09/03/2025 ","09/03/2025 04:00AM ","09/03/2025 05:00AM ","0.930","0.000"
"09/03/2025 ","09/03/2025 05:00AM ","09/03/2025 06:00AM ","0.852","0.000"
"09/03/2025 ","09/03/2025 06:00AM ","09/03/2025 07:00AM ","0.624","0.000"
"09/03/2025 ","09/03/2025 07:00AM ","09/03/2025 08:00AM ","1.338","0.000"
"09/03/2025 ","09/03/2025 08:00AM ","09/03/2025 09:00AM ","1.338","0.000"
"09/03/2025 ","09/03/2025 09:00AM ","09/03/2025 10:00AM ","1.752","0.000"
"09/03/2025 ","09/03/2025 10:00AM ","09/03/2025 11:00AM ","2.226","0.000"
"09/03/2025 ","09/03/2025 11:00AM ","09/03/2025 12:00PM ","3.024","0.000"
"09/03/2025 ","09/03/2025 12:00PM ","09/03/2025 1:00PM ","4.128","0.000"
"09/03/2025 ","09/03/2025 1:00PM ","09/03/2025 2:00PM ","4.686","0.000"
"09/03/2025 ","09/03/2025 2:00PM ","09/03/2025 3:00PM ","5.316","0.000"
"09/03/2025 ","09/03/2025 3:00PM ","09/03/2025 4:00PM ","4.728","0.000"
"09/03/2025 ","09/03/2025 4:00PM ","09/03/2025 5:00PM ","4.536","0.000"
"09/03/2025 ","09/03/2025 5:00PM ","09/03/2025 6:00PM ","4.572","0.000"
"09/03/2025 ","09/03/2025 6:00PM ","09/03/2025 7:00PM ","4.326","0.000"
"09/03/2025 ","09/03/2025 7:00PM ","09/03/2025 8:00PM ","4.314","0.000"
"09/03/2025 ","09/03/2025 8:00PM ","09/03/2025 9:00PM ","3.360","0.000"
"09/03/2025 ","09/03/2025 9:00PM ","09/03/2025 10:00PM ","3.018","0.000"
"09/03/2025 ","09/03/2025 10:00PM ","09/03/2025 11:00PM ","2.436","0.000"
"09/03/2025 ","09/03/2025 11:00PM ","09/04/2025 12:00AM ","2.166","0.000"
"09/04/2025 ","09/04/2025 12:00AM ","09/04/2025 01:00AM ","1.212","0.000"
"09/04/2025 ","09/04/2025 01:00AM ","09/04/2025 02:00AM ","1.296","0.000"
"09/04/2025 ","09/04/2025 02:00AM ","09/04/2025 03:00AM ","0.894","0.000"
"09/04/2025 ","09/04/2025 03:00AM ","09/04/2025 04:00AM ","0.924","0.000"
"09/04/2025 ","09/04/2025 04:00AM ","09/04/2025 05:00AM ","0.720","0.000"
"09/04/2025 ","09/04/2025 05:00AM ","09/04/2025 06:00AM ","0.468","0.000"
"09/04/2025 ","09/04/2025 06:00AM ","09/04/2025 07:00AM ","0.420","0.000"
"09/04/2025 ","09/04/2025 07:00AM ","09/04/2025 08:00AM ","0.576","0.000"
"09/04/2025 ","09/04/2025 08:00AM ","09/04/2025 09:00AM ","4.764","0.000"
"09/04/2025 ","09/04/2025 09:00AM ","09/04/2025 10:00AM ","8.802","0.000"
"09/04/2025 ","09/04/2025 10:00AM ","09/04/2025 11:00AM ","9.234","0.000"
"09/04/2025 ","09/04/2025 11:00AM ","09/04/2025 12:00PM ","9.816","0.000"
"09/04/2025 ","09/04/2025 12:00PM ","09/04/2025 1:00PM ","5.130","0.000"
"09/04/2025 ","09/04/2025 1:00PM ","09/04/2025 2:00PM ","3.840","0.000"
"09/04/2025 ","09/04/2025 2:00PM ","09/04/2025 3:00PM ","3.984","0.000"
